RefSeq_ID	Entrez_Gene_ID	Symbol	Probe_Id	Chromosome	Probe_Coordinates	Definition
NM_002564.2	5029	P2RY2	ILMN_2372915	11	72624553-72624602	Homo sapiens purinergic receptor P2Y, G-protein coupled, 2 (P2RY2), transcript variant 2, mRNA.
NM_013292.3	29895	MYLPF	ILMN_1759962	16	30295479-30295520:30296476-30296483	Homo sapiens myosin light chain, phosphorylatable, fast skeletal muscle (MYLPF), mRNA.
NM_015388.2	25844	YIPF3	ILMN_1673604	6	43587630-43587679	Homo sapiens Yip1 domain family, member 3 (YIPF3), mRNA.
NM_025010.3	23276	KLHL18	ILMN_1655608	3	47363001-47363050	Homo sapiens kelch-like 18 (Drosophila) (KLHL18), mRNA.
NM_178525.2	284382	MGC33407	ILMN_1656193	19	8669058-8669107	Homo sapiens hypothetical protein MGC33407 (MGC33407), mRNA.
NM_030782.3	81037	CLPTM1L	ILMN_1752802	5	1371250-1371299	Homo sapiens CLPTM1-like (CLPTM1L), mRNA.
NM_183075.2	113612	CYP2U1	ILMN_2097259	4	108874179-108874228	Homo sapiens cytochrome P450, family 2, subfamily U, polypeptide 1 (CYP2U1), mRNA.
NM_025114.2	80184	CEP290	ILMN_1746832	12	86968331-86968341:86971560-86971598	Homo sapiens centrosomal protein 290kDa (CEP290), mRNA.
NM_000252.1	4534	MTM1	ILMN_1686985	X	149591560-149591609	Homo sapiens myotubularin 1 (MTM1), mRNA.
NM_004804.2	9391	CIAO1	ILMN_2048793	2	96303458-96303507	Homo sapiens cytosolic iron-sulfur protein assembly 1 homolog (S. cerevisiae) (CIAO1), mRNA.
NM_002621.1	5199	CFP	ILMN_1658121	X	47368761-47368783:47370401-47370427	Homo sapiens complement factor properdin (CFP), mRNA.
XM_001127234.1	9	NAT1	ILMN_1688071			PREDICTED: Homo sapiens N-acetyltransferase 1 (arylamine N-acetyltransferase) (NAT1), mRNA.
NM_199054.2	2872	MKNK2	ILMN_1654060	19	2038113-2038162	Homo sapiens MAP kinase interacting serine/threonine kinase 2 (MKNK2), transcript variant 2, mRNA.
NM_175872.4	126375	ZNF792	ILMN_1669696	19	40139192-40139241	Homo sapiens zinc finger protein 792 (ZNF792), mRNA.
NM_018492.2	55872	PBK	ILMN_1673673	8	27723197-27723246	Homo sapiens PDZ binding kinase (PBK), mRNA.
NM_000899.3	4254	KITLG	ILMN_2341595	12	88886970-88887019	Homo sapiens KIT ligand (KITLG), transcript variant b, mRNA.
NM_000899.3	4254	KITLG	ILMN_1746232	12	88909315-88909364	Homo sapiens KIT ligand (KITLG), transcript variant b, mRNA.
NM_015316.2	23368	PPP1R13B	ILMN_1748831	14	104200106-104200155	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 13B (PPP1R13B), mRNA.
NM_001012633.1	9235	IL32	ILMN_2368530	16	3058184-3058233	Homo sapiens interleukin 32 (IL32), transcript variant 4, mRNA.
NM_152486.2	148398	SAMD11	ILMN_2195138	1	867889-867938	Homo sapiens sterile alpha motif domain containing 11 (SAMD11), mRNA.
NM_003792.2	8721	EDF1	ILMN_1726169	9	139757396-139757445	Homo sapiens endothelial differentiation-related factor 1 (EDF1), transcript variant alpha, mRNA.
NM_003792.2	8721	EDF1	ILMN_2246894	9	139756745-139756794	Homo sapiens endothelial differentiation-related factor 1 (EDF1), transcript variant alpha, mRNA.
NM_152898.2	222894	FERD3L	ILMN_1721475	7	19184432-19184481	Homo sapiens Fer3-like (Drosophila) (FERD3L), mRNA.
NM_003132.2	6723	SRM	ILMN_1661337	1	11114789-11114838	Homo sapiens spermidine synthase (SRM), mRNA.
NM_033301.1	6132	RPL8	ILMN_1764721	8	146015797-146015846	Homo sapiens ribosomal protein L8 (RPL8), transcript variant 2, mRNA.
NM_033301.1	6132	RPL8	ILMN_1811433	8	146017674-146017723	Homo sapiens ribosomal protein L8 (RPL8), transcript variant 2, mRNA.
NM_031445.2	83607	AMMECR1L	ILMN_1727023	2	128619310-128619359	Homo sapiens AMME chromosomal region gene 1-like (AMMECR1L), mRNA.
NM_015012.1	440026	TMEM41B	ILMN_1678004	11	9258921-9258970	Homo sapiens transmembrane protein 41B (TMEM41B), mRNA.
NM_001031694.1	22955	SCMH1	ILMN_2276504	1	41617353-41617356:41618271-41618316	Homo sapiens sex comb on midleg homolog 1 (Drosophila) (SCMH1), transcript variant 1, mRNA.
NM_001031694.1	22955	SCMH1	ILMN_1653861	1	41492926-41492975	Homo sapiens sex comb on midleg homolog 1 (Drosophila) (SCMH1), transcript variant 1, mRNA.
NM_001031694.1	22955	SCMH1	ILMN_2375557	1	41493523-41493572	Homo sapiens sex comb on midleg homolog 1 (Drosophila) (SCMH1), transcript variant 1, mRNA.
NM_015151.2	23181	DIP2A	ILMN_2285618	21	46812875-46812924	Homo sapiens DIP2 disco-interacting protein 2 homolog A (Drosophila) (DIP2A), transcript variant 1, mRNA.
NM_001006639.1	9338	TCEAL1	ILMN_2398403	X	102771941-102771980:102771981-102771990	Homo sapiens transcription elongation factor A (SII)-like 1 (TCEAL1), transcript variant 2, mRNA.
NM_145166.2	92999	ZBTB47	ILMN_1699440	3	42683889-42683938	Homo sapiens zinc finger and BTB domain containing 47 (ZBTB47), mRNA.
NM_001006121.1	378948	RBMY1B	ILMN_1716960	Y	22082713-22082762	Homo sapiens RNA binding motif protein, Y-linked, family 1, member B (RBMY1B), mRNA.
NM_199179.1	84063	KIRREL2	ILMN_2299440	19	41045680-41045729	Homo sapiens kin of IRRE like 2 (Drosophila) (KIRREL2), transcript variant 2, mRNA.
NM_001077594.1	91828	C14orf73	ILMN_1773017	14	102646470-102646519	Homo sapiens chromosome 14 open reading frame 73 (C14orf73), mRNA.
NM_001077594.1	91828	C14orf73	ILMN_2194388	14	102646157-102646206	Homo sapiens chromosome 14 open reading frame 73 (C14orf73), mRNA.
NM_007048.4	11119	BTN3A1	ILMN_1802708	6	26523207-26523256	Homo sapiens butyrophilin, subfamily 3, member A1 (BTN3A1), mRNA.
NM_004214.4	9158	FIBP	ILMN_1657797	11	65651410-65651444:65651445-65651459	Homo sapiens fibroblast growth factor (acidic) intracellular binding protein (FIBP), transcript variant 2, mRNA.
NM_018725.3	55540	IL17RB	ILMN_1767523	3	53874362-53874375:53874376-53874411	Homo sapiens interleukin 17 receptor B (IL17RB), mRNA.
NM_006432.3	10577	NPC2	ILMN_1716678	14	74946779-74946828	Homo sapiens Niemann-Pick disease, type C2 (NPC2), mRNA.
NM_025065.6	80135	RPF1	ILMN_1655734	1	84734618-84734641:84735700-84735725	Homo sapiens ribosome production factor 1 homolog (S. cerevisiae) (RPF1), mRNA.
NM_001008496.2	440822	PIWIL3	ILMN_1735693	22	25115147-25115196	Homo sapiens piwi-like 3 (Drosophila) (PIWIL3), mRNA.
NM_014696.2	9721	KIAA0514	ILMN_1803217	10	46420445-46420494	Homo sapiens KIAA0514 (KIAA0514), mRNA.
NM_133169.2	126014	OSCAR	ILMN_2367418	19	59290030-59290079	Homo sapiens osteoclast-associated receptor (OSCAR), transcript variant 4, mRNA.
NM_032794.1	80736	SLC44A4	ILMN_2274775	6	31938999-31939048	Homo sapiens solute carrier family 44, member 4 (SLC44A4), transcript variant 2, mRNA.
NM_032794.1	80736	SLC44A4	ILMN_1719250	6	31939298-31939347	Homo sapiens solute carrier family 44, member 4 (SLC44A4), transcript variant 2, mRNA.
NM_001710.4	629	CFB	ILMN_1774287	6	32027200-32027229:32027311-32027330	Homo sapiens complement factor B (CFB), mRNA.
NM_001076680.1	201229	C17orf108	ILMN_2099487	17	26205699-26205748	Homo sapiens chromosome 17 open reading frame 108 (C17orf108), mRNA.
NR_003127.1	147947	ZNF542	ILMN_1793841			Homo sapiens zinc finger protein 542 (ZNF542) on chromosome 19.
NM_005461.3	9935	MAFB	ILMN_1764709	20	39314809-39314858	Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian) (MAFB), mRNA.
NM_012232.3	284119	PTRF	ILMN_1757552	17	37808068-37808117	Homo sapiens polymerase I and transcript release factor (PTRF), mRNA.
NM_017712.1	54858	PGPEP1	ILMN_1707513	19	18337823-18337872	Homo sapiens pyroglutamyl-peptidase I (PGPEP1), mRNA.
NM_012143.2	24144	TFIP11	ILMN_2408102	22	26888084-26888133	Homo sapiens tuftelin interacting protein 11 (TFIP11), transcript variant 2, mRNA.
NM_012143.2	24144	TFIP11	ILMN_1672571	22	26888162-26888211	Homo sapiens tuftelin interacting protein 11 (TFIP11), transcript variant 2, mRNA.
NM_005599.2	4808	NHLH2	ILMN_2208777	1	116180551-116180600	Homo sapiens nescient helix loop helix 2 (NHLH2), mRNA.
NM_000849.3	2947	GSTM3	ILMN_1736184	1	110078131-110078180	Homo sapiens glutathione S-transferase M3 (brain) (GSTM3), mRNA.
NM_182605.1	339059	FLJ40448	ILMN_1764029	16	87339291-87339340	Homo sapiens hypothetical protein FLJ40448 (FLJ40448), mRNA.
NM_145003.1	203062	TSNARE1	ILMN_1781027	8	143291364-143291413	Homo sapiens t-SNARE domain containing 1 (TSNARE1), mRNA.
NM_014372.3	26994	RNF11	ILMN_2168758	1	51511560-51511609	Homo sapiens ring finger protein 11 (RNF11), mRNA.
NM_018662.2	27185	DISC1	ILMN_1695871	1	230211358-230211407	Homo sapiens disrupted in schizophrenia 1 (DISC1), transcript variant L, mRNA.
NM_004258.2	9398	IGSF2	ILMN_1799278			Homo sapiens immunoglobulin superfamily, member 2 (IGSF2), mRNA.
NM_014042.1	25906	C11orf51	ILMN_1726104	11	71499252-71499297:71499851-71499854	Homo sapiens chromosome 11 open reading frame 51 (C11orf51), mRNA.
NM_003943.2	8987	STBD1	ILMN_1673950	4	77450937-77450986	Homo sapiens starch binding domain 1 (STBD1), mRNA.
NM_014352.1	25833	POU2F3	ILMN_2129397	11	119695479-119695528	Homo sapiens POU domain, class 2, transcription factor 3 (POU2F3), mRNA.
NM_000770.3	1558	CYP2C8	ILMN_1769155	10	96814630-96814679	Homo sapiens cytochrome P450, family 2, subfamily C, polypeptide 8 (CYP2C8), mRNA.
NM_006663.2	10848	PPP1R13L	ILMN_1669390	19	50574965-50575014	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 13 like (PPP1R13L), mRNA.
NM_080593.1	85236	HIST1H2BK	ILMN_1796179	6	27214075-27214124	Homo sapiens histone cluster 1, H2bk (HIST1H2BK), mRNA.
NM_080593.1	85236	HIST1H2BK	ILMN_1813314	6	27222496-27222545	Homo sapiens histone cluster 1, H2bk (HIST1H2BK), mRNA.
NM_006775.1	9444	QKI	ILMN_1690476	6	163836187-163836225:163836226-163836236	Homo sapiens quaking homolog, KH domain RNA binding (mouse) (QKI), transcript variant 1, mRNA.
NM_006775.1	9444	QKI	ILMN_1773485	6	163836224-163836225:163836226-163836273	Homo sapiens quaking homolog, KH domain RNA binding (mouse) (QKI), transcript variant 1, mRNA.
NM_005623.2	6355	CCL8	ILMN_1772964	17	29672323-29672372	Homo sapiens chemokine (C-C motif) ligand 8 (CCL8), mRNA.
NM_015043.3	23061	TBC1D9B	ILMN_1789909	5	179289331-179289380	Homo sapiens TBC1 domain family, member 9B (with GRAM domain) (TBC1D9B), transcript variant 2, mRNA.
NM_015043.3	23061	TBC1D9B	ILMN_2390227	5	179289210-179289259	Homo sapiens TBC1 domain family, member 9B (with GRAM domain) (TBC1D9B), transcript variant 2, mRNA.
NM_018437.3	55363	HEMGN	ILMN_1689675	9	100707062-100707111	Homo sapiens hemogen (HEMGN), transcript variant 1, mRNA.
NM_018437.3	55363	HEMGN	ILMN_1680094	9	100692876-100692925	Homo sapiens hemogen (HEMGN), transcript variant 1, mRNA.
NM_001524.1	3060	HCRT	ILMN_2179739	17	40336087-40336136	Homo sapiens hypocretin (orexin) neuropeptide precursor (HCRT), mRNA.
NM_001079537.1	122553	TRAPPC6B	ILMN_2369104	14	39617066-39617115	Homo sapiens trafficking protein particle complex 6B (TRAPPC6B), transcript variant 1, mRNA.
NM_001079537.1	122553	TRAPPC6B	ILMN_2272967	14	39623443-39623492	Homo sapiens trafficking protein particle complex 6B (TRAPPC6B), transcript variant 1, mRNA.
NM_030884.2	4134	MAP4	ILMN_1788351	3	47925602-47925651	Homo sapiens microtubule-associated protein 4 (MAP4), transcript variant 2, mRNA.
NM_014331.3	23657	SLC7A11	ILMN_1655229	4	139319866-139319915	Homo sapiens solute carrier family 7, (cationic amino acid transporter, y+ system) member 11 (SLC7A11), mRNA.
NM_201650.1	10233	LRRC23	ILMN_2314244	12	6893390-6893439	Homo sapiens leucine rich repeat containing 23 (LRRC23), transcript variant 1, mRNA.
NM_201650.1	10233	LRRC23	ILMN_1753404	12	6892395-6892428:6892429-6892444	Homo sapiens leucine rich repeat containing 23 (LRRC23), transcript variant 1, mRNA.
NM_006910.4	5930	RBBP6	ILMN_1673042	16	24486658-24486707	Homo sapiens retinoblastoma binding protein 6 (RBBP6), transcript variant 1, mRNA.
NM_032012.3	23731	C9orf5	ILMN_1788384	9	111777739-111777788	Homo sapiens chromosome 9 open reading frame 5 (C9orf5), mRNA.
NM_018295.2	55281	TMEM140	ILMN_1736863	7	134500907-134500956	Homo sapiens transmembrane protein 140 (TMEM140), mRNA.
NM_001006939.2	474354	LRRC18	ILMN_1756683	10	49787576-49787625	Homo sapiens leucine rich repeat containing 18 (LRRC18), mRNA.
NM_181612.2	337973	KRTAP19-6	ILMN_1784216	21	31914049-31914098	Homo sapiens keratin associated protein 19-6 (KRTAP19-6), mRNA.
NM_022802.1	1488	CTBP2	ILMN_1781031	10	126704865-126704914	Homo sapiens C-terminal binding protein 2 (CTBP2), transcript variant 2, mRNA.
NM_032866.3	84952	CGNL1	ILMN_1730229	15	55630050-55630099	Homo sapiens cingulin-like 1 (CGNL1), mRNA.
NM_012321.2	25804	LSM4	ILMN_1788099	19	18278959-18279008	Homo sapiens LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae) (LSM4), mRNA.
NM_025251.1	80728	KIAA1688	ILMN_1784436	8	145755639-145755688	Homo sapiens KIAA1688 protein (KIAA1688), mRNA.
NM_001039463.1	374987	C1orf118	ILMN_1723567	1	78119993-78120042	Homo sapiens chromosome 1 open reading frame 118 (C1orf118), mRNA.
NM_005775.3	10174	SORBS3	ILMN_1789338	8	22488824-22488873	Homo sapiens sorbin and SH3 domain containing 3 (SORBS3), transcript variant 1, mRNA.
NM_005775.3	10174	SORBS3	ILMN_1717904	8	22477950-22477979:22478726-22478745	Homo sapiens sorbin and SH3 domain containing 3 (SORBS3), transcript variant 1, mRNA.
NM_033337.1	859	CAV3	ILMN_1810532	3	8762598-8762647	Homo sapiens caveolin 3 (CAV3), transcript variant 1, mRNA.
NM_033337.1	859	CAV3	ILMN_1804980	3	8763199-8763248	Homo sapiens caveolin 3 (CAV3), transcript variant 1, mRNA.
NM_032977.3	843	CASP10	ILMN_1797578	2	201782141-201782190	Homo sapiens caspase 10, apoptosis-related cysteine peptidase (CASP10), transcript variant D, mRNA.
NM_198938.1	80142	PTGES2	ILMN_2345015	9	129922836-129922885	Homo sapiens prostaglandin E synthase 2 (PTGES2), transcript variant 2, mRNA.
NM_198938.1	80142	PTGES2	ILMN_2345016	9	129923338-129923373:129924462-129924475	Homo sapiens prostaglandin E synthase 2 (PTGES2), transcript variant 2, mRNA.
NM_000455.4	6794	STK11	ILMN_1751871	19	1179082-1179131	Homo sapiens serine/threonine kinase 11 (STK11), mRNA.
NM_016622.2	51318	MRPL35	ILMN_1812777	2	86293273-86293322	Homo sapiens mitochondrial ribosomal protein L35 (MRPL35), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.
NM_016622.2	51318	MRPL35	ILMN_1753016	2	86292835-86292884	Homo sapiens mitochondrial ribosomal protein L35 (MRPL35), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.
NM_005431.1	7516	XRCC2	ILMN_2204909	7	152343834-152343883	Homo sapiens X-ray repair complementing defective repair in Chinese hamster cells 2 (XRCC2), mRNA.
NM_030798.3	81554	WBSCR16	ILMN_1679978	7	74456634-74456683	Homo sapiens Williams-Beuren syndrome chromosome region 16 (WBSCR16), mRNA.
NM_030798.3	81554	WBSCR16	ILMN_1765525	7	74482569-74482605:74486454-74486466	Homo sapiens Williams-Beuren syndrome chromosome region 16 (WBSCR16), mRNA.
NM_152369.2	126969	SLC44A3	ILMN_1658498	1	95105504-95105553	Homo sapiens solute carrier family 44, member 3 (SLC44A3), mRNA.
NM_181643.2	128344	C1orf88	ILMN_2064237	1	111696929-111696978	Homo sapiens chromosome 1 open reading frame 88 (C1orf88), mRNA.
NM_004140.3	3996	LLGL1	ILMN_1798212	17	18088684-18088733	Homo sapiens lethal giant larvae homolog 1 (Drosophila) (LLGL1), mRNA.
NM_006397.2	10535	RNASEH2A	ILMN_1810901	19	12785196-12785245	Homo sapiens ribonuclease H2, subunit A (RNASEH2A), mRNA.
NM_001005463.1	253738	EBF3	ILMN_1707232	10	131634347-131634396	Homo sapiens early B-cell factor 3 (EBF3), mRNA.
NM_024334.1	79188	TMEM43	ILMN_1698605	3	14159787-14159836	Homo sapiens transmembrane protein 43 (TMEM43), mRNA.
NM_002627.3	5214	PFKP	ILMN_1805737	10	3149455-3149501:3150893-3150895	Homo sapiens phosphofructokinase, platelet (PFKP), mRNA.
NM_003026.1	6456	SH3GL2	ILMN_1661491	9	17786995-17787044	Homo sapiens SH3-domain GRB2-like 2 (SH3GL2), mRNA.
NM_004407.2	1758	DMP1	ILMN_2300022	4	88803968-88804017	Homo sapiens dentin matrix acidic phosphoprotein (DMP1), transcript variant 1, mRNA.
NM_001039165.1	116534	MRGPRE	ILMN_2195015	11	3206008-3206057	Homo sapiens MAS-related GPR, member E (MRGPRE), mRNA.
NM_002931.3	6015	RING1	ILMN_1666399	6	33180358-33180407	Homo sapiens ring finger protein 1 (RING1), mRNA.
NM_017818.2	49856	WDR8	ILMN_1711166	1	3537487-3537536	Homo sapiens WD repeat domain 8 (WDR8), mRNA.
NM_002934.2	6036	RNASE2	ILMN_1730628	14	20494074-20494123	Homo sapiens ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin) (RNASE2), mRNA.
NM_138770.1	90557	CCDC74A	ILMN_1678086	2	132007081-132007112:132007312-132007329	Homo sapiens coiled-coil domain containing 74A (CCDC74A), mRNA.
NM_025080.2	80150	ASRGL1	ILMN_1810199	11	61916261-61916310	Homo sapiens asparaginase like 1 (ASRGL1), mRNA.
NM_206910.1	375513	GUSBL2	ILMN_1657288	6	58395604-58395653	Homo sapiens glucuronidase, beta-like 2 (GUSBL2), transcript variant 3, mRNA.
NM_015599.1	5238	PGM3	ILMN_2168314	6	83935680-83935729	Homo sapiens phosphoglucomutase 3 (PGM3), mRNA.
NM_006730.2	1774	DNASE1L1	ILMN_1801230	X	153636909-153636958	Homo sapiens deoxyribonuclease I-like 1 (DNASE1L1), transcript variant 1, mRNA.
NM_014660.2	9678	PHF14	ILMN_1697975	7	11030333-11030382	Homo sapiens PHD finger protein 14 (PHF14), transcript variant 2, mRNA.
NM_000265.4	653361	NCF1	ILMN_1697309	7	73826363-73826386:73829549-73829574	Homo sapiens neutrophil cytosolic factor 1 (NCF1), mRNA.
NM_173508.2	148641	SLC35F3	ILMN_1794959	1	232108060-232108109	Homo sapiens solute carrier family 35, member F3 (SLC35F3), mRNA.
NM_153265.2	256364	EML3	ILMN_1772644	11	62369695-62369744	Homo sapiens echinoderm microtubule associated protein like 3 (EML3), mRNA.
NM_052923.1	114821	SCAND3	ILMN_2246154	6	28647799-28647848	Homo sapiens SCAN domain containing 3 (SCAND3), mRNA.
NM_138572.2	129685	TAF8	ILMN_2070477	6	42048376-42048425	Homo sapiens TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa (TAF8), mRNA.
NM_198273.1	116068	LYSMD3	ILMN_1766718	5	89847518-89847567	Homo sapiens LysM, putative peptidoglycan-binding, domain containing 3 (LYSMD3), mRNA.
NM_198273.1	116068	LYSMD3	ILMN_2074401	5	89850476-89850525	Homo sapiens LysM, putative peptidoglycan-binding, domain containing 3 (LYSMD3), mRNA.
NM_006144.2	3001	GZMA	ILMN_1779324	5	54441606-54441655	Homo sapiens granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3) (GZMA), mRNA.
NM_018302.1	55286	C4orf19	ILMN_1795838	4	37269572-37269621	Homo sapiens chromosome 4 open reading frame 19 (C4orf19), mRNA.
NM_003114.3	6674	SPAG1	ILMN_1705522	8	101170789-101170838	Homo sapiens sperm associated antigen 1 (SPAG1), transcript variant 1, mRNA.
NM_197970.1	66037	BOLL	ILMN_1670746	2	198358953-198358972:198358973-198359002	Homo sapiens bol, boule-like (Drosophila) (BOLL), transcript variant 1, mRNA.
NM_002870.2	5872	RAB13	ILMN_1788180	1	153954462-153954511	Homo sapiens RAB13, member RAS oncogene family (RAB13), mRNA.
NM_020717.2	57477	SHROOM4	ILMN_2206188	X	50351733-50351782	Homo sapiens shroom family member 4 (SHROOM4), mRNA.
NM_033119.3	85407	NKD1	ILMN_1692674	16	49225787-49225836	Homo sapiens naked cuticle homolog 1 (Drosophila) (NKD1), mRNA.
NM_007032.5	11078	TRIOBP	ILMN_2370588	22	36483937-36483986	Homo sapiens TRIO and F-actin binding protein (TRIOBP), transcript variant 1, mRNA.
NM_080749.2	140825	NEURL2	ILMN_1777113	20	44518914-44518963	Homo sapiens neuralized homolog 2 (Drosophila) (NEURL2), mRNA.
NM_003931.2	8936	WASF1	ILMN_2342174	6	110529734-110529783	Homo sapiens WAS protein family, member 1 (WASF1), transcript variant 1, mRNA.
NM_152509.1	150244	FLJ31568	ILMN_2113728	22	22063202-22063251	Homo sapiens FLJ31568 protein (FLJ31568), mRNA.
NM_152291.1	4589	MUC7	ILMN_1798931	4	71382522-71382571	Homo sapiens mucin 7, secreted (MUC7), mRNA.
NM_007067.3	11143	MYST2	ILMN_1798187	17	45261248-45261297	Homo sapiens MYST histone acetyltransferase 2 (MYST2), mRNA.
NM_002652.2	5304	PIP	ILMN_2092077	7	142546750-142546799	Homo sapiens prolactin-induced protein (PIP), mRNA.
NM_033213.2	93474	ZNF670	ILMN_2085446	1	247200550-247200599	Homo sapiens zinc finger protein 670 (ZNF670), mRNA.
NM_017550.1	54531	MIER2	ILMN_1766159	19	305734-305783	Homo sapiens mesoderm induction early response 1, family member 2 (MIER2), mRNA.
NM_001031719.1	79758	DHRS12	ILMN_1762327	13	52345133-52345182	Homo sapiens dehydrogenase/reductase (SDR family) member 12 (DHRS12), transcript variant 1, mRNA.
NM_005915.4	4175	MCM6	ILMN_1798654	2	136598167-136598216	Homo sapiens minichromosome maintenance complex component 6 (MCM6), mRNA.
NM_031861.1	56138	PCDHA11	ILMN_1740494	5	140230869-140230918	Homo sapiens protocadherin alpha 11 (PCDHA11), transcript variant 2, mRNA.
NM_144585.2	116085	SLC22A12	ILMN_1662154	11	64117466-64117515	Homo sapiens solute carrier family 22 (organic anion/urate transporter), member 12 (SLC22A12), transcript variant 1, mRNA.
NM_144585.2	116085	SLC22A12	ILMN_1766083	11	64126218-64126267	Homo sapiens solute carrier family 22 (organic anion/urate transporter), member 12 (SLC22A12), transcript variant 1, mRNA.
NM_022373.3	64224	HERPUD2	ILMN_2066348	7	35638909-35638958	Homo sapiens HERPUD family member 2 (HERPUD2), mRNA.
NM_005755.2	10148	EBI3	ILMN_1802653	19	4188208-4188257	Homo sapiens Epstein-Barr virus induced 3 (EBI3), mRNA.
NM_004474.3	2306	FOXD2	ILMN_1789400	1	47678784-47678833	Homo sapiens forkhead box D2 (FOXD2), mRNA.
NM_001005.3	6188	RPS3	ILMN_1760714	11	74791126-74791138:74792712-74792748	Homo sapiens ribosomal protein S3 (RPS3), mRNA.
NM_004272.3	9456	HOMER1	ILMN_1804568	5	78728431-78728480	Homo sapiens homer homolog 1 (Drosophila) (HOMER1), mRNA.
NM_002945.2	6117	RPA1	ILMN_2049642	17	1747890-1747939	Homo sapiens replication protein A1, 70kDa (RPA1), mRNA.
NM_052919.1	114817	KIAA1920	ILMN_1792432	15	82744153-82744202	Homo sapiens KIAA1920 protein (KIAA1920), mRNA.
NM_018058.4	55118	CRTAC1	ILMN_1658384	10	99657800-99657849	Homo sapiens cartilage acidic protein 1 (CRTAC1), mRNA.
NM_145731.2	9145	SYNGR1	ILMN_1721712	22	38104135-38104184	Homo sapiens synaptogyrin 1 (SYNGR1), transcript variant 1b, mRNA.
NM_001009996.1	55152	DALRD3	ILMN_1715703	3	49055618-49055667	Homo sapiens DALR anticodon binding domain containing 3 (DALRD3), transcript variant 1, mRNA.
NM_006245.2	5528	PPP2R5D	ILMN_1699384	6	42974382-42974417:42974649-42974662	Homo sapiens protein phosphatase 2, regulatory subunit B', delta isoform (PPP2R5D), transcript variant 1, mRNA.
NM_000843.3	2916	GRM6	ILMN_1715977	5	178405968-178406017	Homo sapiens glutamate receptor, metabotropic 6 (GRM6), mRNA.
NM_178270.1	115201	ATG4A	ILMN_2313782	X	107284328-107284377	Homo sapiens ATG4 autophagy related 4 homolog A (S. cerevisiae) (ATG4A), transcript variant 2, mRNA.
NM_001042784.1	339965	CCDC158	ILMN_1727511	4	77466192-77466192:77469077-77469125	Homo sapiens coiled-coil domain containing 158 (CCDC158), mRNA.
NM_003915.2	8904	CPNE1	ILMN_2276002	20	33705193-33705242	Homo sapiens copine I (CPNE1), transcript variant 3, mRNA.
NM_016556.1	29893	PSMC3IP	ILMN_2396947	17	37978543-37978568:37978651-37978674	Homo sapiens PSMC3 interacting protein (PSMC3IP), transcript variant 2, mRNA.
NM_016556.1	29893	PSMC3IP	ILMN_2396948	17	37979670-37979719	Homo sapiens PSMC3 interacting protein (PSMC3IP), transcript variant 2, mRNA.
NM_021088.2	7549	ZNF2	ILMN_1812222	2	95205662-95205698:95205699-95205711	Homo sapiens zinc finger protein 2 (ZNF2), transcript variant 1, mRNA.
NM_021088.2	7549	ZNF2	ILMN_1687884	2	95213620-95213669	Homo sapiens zinc finger protein 2 (ZNF2), transcript variant 1, mRNA.
NM_152748.2	222223	KIAA1324L	ILMN_1652371	7	86347597-86347646	Homo sapiens KIAA1324-like (KIAA1324L), transcript variant 2, mRNA.
NM_001017523.1	121551	BTBD11	ILMN_1674670	12	106498863-106498912	Homo sapiens BTB (POZ) domain containing 11 (BTBD11), transcript variant b, mRNA.
NM_004637.5	7879	RAB7A	ILMN_1716524	3	128533468-128533517	Homo sapiens RAB7A, member RAS oncogene family (RAB7A), mRNA.
NM_001039490.1	977	CD151	ILMN_1794740	11	828488-828537	Homo sapiens CD151 molecule (Raph blood group) (CD151), transcript variant 5, mRNA.
NM_001025436.1	79582	SPAG16	ILMN_1768732	2	213890208-213890257	Homo sapiens sperm associated antigen 16 (SPAG16), transcript variant 2, mRNA.
NM_001025436.1	79582	SPAG16	ILMN_1742135	2	213890866-213890915	Homo sapiens sperm associated antigen 16 (SPAG16), transcript variant 2, mRNA.
NM_006950.2	6853	SYN1	ILMN_1783837	X	47317225-47317274	Homo sapiens synapsin I (SYN1), transcript variant Ia, mRNA.
NM_018087.3	55706	TMEM48	ILMN_1749930	1	54238088-54238137	Homo sapiens transmembrane protein 48 (TMEM48), mRNA.
NM_001005179.2	120793	OR56A4	ILMN_1705551	11	6023582-6023631	Homo sapiens olfactory receptor, family 56, subfamily A, member 4 (OR56A4), mRNA.
NM_001003714.1	9551	ATP5J2	ILMN_2307883	7	99055865-99055914	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2 (ATP5J2), nuclear gene encoding mitochondrial protein, transcript variant 3, mRNA.
NM_024876.2	79934	ADCK4	ILMN_1700349	19	45889500-45889549	Homo sapiens aarF domain containing kinase 4 (ADCK4), mRNA.
